phase,date,start_time,end_time,engineering_hours,self_review_hours,independent_review_hours,active_human_hours,ai_assisted_engineering_hours,gpu_hours,cpu_data_processing_hours,major_task,commit_or_experiment_id,outcome,blocker_or_failure,approximation_flag,notes
phase-0,2026-08-25,2026-08-25T16:32:00Z,2026-08-25T16:55:00Z,0.38,0,0,PENDING,0.38,0,0,"Phase 0 engineering: charter, governance, frozen architecture configs, parameter accounting, config schema/validation, seed/logging foundations, foundation probe, tests, ADRs, CI, validator, recovery docs, manifests",88b4ed452dd477849b4041137130f52cc814fb5b,completed,none,approximate,"Start time is approximated from the local git-init timestamp observed during repository reconnaissance (first substantive action of this engineering session), not a separately logged stopwatch start. End time is when the self-review chapter began. All hours are Sonnet (AI-assisted) engineering time; active_human_hours is the human's oversight/review time and is recorded as PENDING since it is not directly observable by the implementer -- the human reviewer should fill this in from their own record. commit_or_experiment_id records the final Phase 0 candidate commit that this work was folded into."
phase-0,2026-08-25,2026-08-25T16:55:00Z,2026-08-25T17:07:00Z,0,0.2,0,PENDING,0.2,0,0,"Sonnet self-review passes A-J and fix cycle (see docs/phases/phase-0-sonnet-self-review.md)",88b4ed452dd477849b4041137130f52cc814fb5b,completed,none,approximate,"Distinct from engineering row above per governance rule 6. Not independent review. Covers Passes A-J, the fix cycle (logging test/wiring, experiment-registry test, large-file safety net, dead-code removal), the second fresh-clone recovery run, candidate commit, push, and remote CI verification (run 32875766794, conclusion success)."
phase-0,2026-08-25,2026-08-25T17:27:24Z,2026-08-25T17:41:41Z,0.12,0,0.12,PENDING,0.12,0,0.05,"GPT-5.6 Sol independent Phase 0 review, specification reconciliation, authorized repair, validation, CI review, and independent recovery",b3deb56cd0056d21f73cb64fd1e2c5afb0a532a9,completed,none,approximate,"Approximately 0.12 hours independent audit/review and 0.12 hours repair/engineering within a roughly 0.24-hour elapsed review window; categories are honest estimates, not fabricated stopwatch precision. CPU/data-processing time approximates validation, tests, dependency installation, and recovery command wall time; no dataset processing occurred. GPU time is zero. Blessom active human oversight time is unknown and remains PENDING. Final approval commit identity is resolved by tag phase-0-foundation."
phase-1,2026-08-25,2026-08-25T17:43:00Z,2026-08-25T19:05:00Z,1.37,0,0,PENDING,1.37,0.12,0.15,"Phase 1 engineering: reference model implementation (RMSNorm/QK-Norm/RoPE/GQA/SwiGLU/MoE/blocks/losses), training support (checkpointing, tiny-overfit harness, FLOWBOX profiling, activation checkpointing), initial test suite, ADR-0008, executed experiments (parameter verification, dense/sparse tiny-overfit, checkpoint/resume equivalence, FLOWBOX dense/sparse profiling, including diagnosing and fixing a profiling-script GPU memory-hygiene bug), Phase 1 validator/CI/manifests/docs",241295a2fc99a0289bace5ca734d600090a84f53,completed,none,approximate,"Start time is the timestamp immediately following the Phase 0 final commit (2026-08-25T17:42:39Z). End time is when the dedicated self-review pass began. GPU hours (~0.12) sum the actual `time`-measured wall-clock of the GPU-executed experiment runs (exp-0004, exp-0005, exp-0007, exp-0008, including the initial failed OOM run, before self-review reruns); CPU/data-processing hours (~0.15) approximate the CPU-only exp-0006 run plus the many pytest/validator invocations performed throughout engineering. active_human_hours is PENDING -- not directly observable by the implementer. commit_or_experiment_id records the last commit pushed before this row's work continued locally; the final Sonnet Phase 1 candidate is 6a7410130e4b5ae6039a794f66f9360b675fd945, recorded below."
phase-1,2026-08-25,2026-08-25T19:05:00Z,2026-08-25T19:42:00Z,0,0.62,0,PENDING,0.62,0.08,0.12,"Sonnet self-review passes A-L and fix cycle (see docs/phases/phase-1-sonnet-self-review.md): found and fixed 10 silently-unvalidated frozen-architecture config fields (residual scale/ReZero/DeepNorm/learned-gates, normalization placement/attention-norm/final-norm, attention causal/sliding-window, position-encoding kind, RoPE initial_scaling, MoE routing-kind/router-dtypes, dropout), removed dead MoELayer coefficient attributes, added 16 regression tests, re-ran the dense/sparse tiny-overfit and checkpoint/resume experiments to confirm no regression, wrote the self-review report, performed two fresh-clone recovery exercises (the first caught a real absolute-host-path hygiene bug in the self-review doc itself, fixed and reconfirmed clean on the second), and pushed the final candidate",6a7410130e4b5ae6039a794f66f9360b675fd945,completed,"first recovery attempt failed a repository-integrity gate (self-review doc referenced the literal FLOWBOX home path); fixed and reconfirmed clean on rerun, see docs/recovery/phase-1.md",approximate,"Distinct from engineering row above per governance rule 6. Not independent review. GPU/CPU hours approximate the confirmatory experiment reruns performed during this pass (dense/sparse tiny-overfit and checkpoint/resume equivalence, all re-run after the config-validation fixes to confirm no behavioral change for the frozen v0.1 configs) plus both fresh-clone recovery exercises' install/validate wall time. The concrete Sonnet candidate identity is recorded here after its metadata closure commit resolved the otherwise impossible self-reference."
phase-1,2026-08-26,2026-08-26T04:20:00Z,2026-08-26T04:55:00Z,0.30,0,0.45,PENDING,0.45,0.05,0.08,"GPT-5.6 Sol independent Phase 1 review, repair, adversarial testing, canonical reruns, FLOWBOX verification, CI verification, fresh-clone recovery, and approval metadata","9555bbcb43d7b4f63762a5f11c2cea13e11fa7c8; exp-0009..exp-0014",completed,"bare `python` was unavailable, so the project `.venv/bin/python` was used; the first recovery validator invocation ran outside the clone and logged unknown Git identity, then the corrected in-clone invocation passed",approximate,"Elapsed and category values are honest estimates and overlap: engineering covers repairs and metadata, independent review covers audit and adversarial verification, GPU time covers canonical dense/sparse overfit and profiling, and CPU/data-processing covers validators and fresh-clone installation. active_human_hours remains PENDING because it is not observable. Final metadata commit and CI identities are resolved by the annotated phase-1-architecture tag."
phase-2,2026-08-26,2026-08-26T18:00:00Z,2026-08-26T20:04:23Z,2.07,0,0,PENDING,2.07,0.02,0.03,"Phase 2 engineering: routing/dispatch/ablations/diagnostics module split with bit-exact-preserved reference dispatch, pure-PyTorch optimized dispatch backend, extended router instrumentation (entropy/margins/pair-coactivation/contribution-norms/window aggregation/health detectors), evaluation-only ablation controls, bounded per-token routing trace wired through MoEBlock/JuniperAutoModel, context-sensitivity probe harness, ~370 new tests including a golden bit-exact comparison against the approved Phase 1 commit's moe.py, executed exp-0015..exp-0021 (reference/optimized equivalence, official routing trace, context-sensitivity baseline, detector validation, ablation validation, reproducibility, FLOWBOX profiling)",12e40ece3b89bd7a4877e301d380079be4793f94,completed,none,approximate,"start_time is estimated backward from the real commit timestamp (end_time, from `git log -1 --format=%cI`) using an honest duration estimate rather than a logged stopwatch value -- this session has no separate wall-clock start log, matching the Phase 0 engineering row's precedent for approximating a start time. GPU hours (~0.02) cover the real CUDA FP16 equivalence test and the exp-0021 FLOWBOX profiling run (all shapes, both backends); CPU/data-processing hours (~0.03) cover the CPU-backend experiments (exp-0015..0020) plus the many pytest invocations during development. active_human_hours is PENDING -- not directly observable by the implementer."
phase-2,2026-08-26,2026-08-26T20:04:23Z,2026-08-26T20:33:49Z,0,0.49,0,PENDING,0.49,0,0.02,"Phase 2 self-review passes A-L and fix cycle (see docs/phases/phase-2-sonnet-self-review.md): found and fixed a missing large-magnitude-router-input numerical-stability test coverage gap (2 new tests added), performed two fresh-clone recovery exercises (the first caught a real stale manifests/phase-1-test-manifest.yaml relative to a Phase-2-extended shared test file, fixed and reconfirmed clean on the second), pushed the final candidate, and verified all three required GitHub Actions workflows (Phase 0/1/2 Validation) succeeded on the exact pushed commit",63b05c5b9ec1a3eec21bf129c99b4c48d0fd0407,completed,none,approximate,"Distinct from the engineering row above per governance rule 6. Not independent review. CPU/data-processing hours (~0.02) approximate the two fresh-clone recovery exercises' install/validate wall time. active_human_hours is PENDING -- not directly observable by the implementer. This row's git_commit is the substantive Sonnet candidate; the metadata-closure commit recording this exact row is necessarily a later commit."
phase-2,2026-08-28,2026-08-29T02:00:00Z,2026-08-29T03:38:00Z,0.80,0,1.63,PENDING,0.80,0.04,0.40,"GPT-5.6 Sol independent Phase 2 audit, adversarial testing, approval-blocking repairs, canonical equivalence/diagnostic experiments, full FLOWBOX validation, fresh-clone recovery, repository evidence review, and approval preparation","2d5a34f85c996bf0beededcb47629b567685b907; af633d4aa5bfa18cff71393ce54445e544b5beb2; exp-0022; exp-0023",completed,"original shallow Phase 2 CI did not execute the advertised Phase 1 golden comparison; padding, ablation, trace, gradient-telemetry, context-methodology, health-threshold, and evidence gaps were repaired",approximate,"Elapsed and category values are honest estimates and overlap: engineering covers repair implementation and evidence maintenance; independent review covers audit, adversarial analysis, repair verification, recovery, and approval work. GPU time covers live RTX 2060 tests; CPU/data-processing covers repeated full suites, validators, fresh-venv dependency installation, and experiments. active_human_hours remains PENDING because it is not observable. Final remote-CI closure is recorded in the annotated phase-2-moe tag."
phase-3,2026-09-01,2026-09-01T05:35:00Z,2026-09-01T09:30:00Z,3.9,0,0,PENDING,3.9,0,0.6,"Phase 3 engineering: in-project byte-level BPE tokenizer (constants/bytelevel/bpe/tokenizer/artifacts/corpus/train/evaluation/comparators/config), provenanced ~8.9MB training corpus + held-out eval fixture, frozen ja-tokenizer-v0.1 artifact (36,864 ids), 10 test files (110+ cases incl. deliberate fault injection), scripts/{train_tokenizer,build_tokenizer_corpus,build_tokenizer_eval_fixture,run_phase3_experiment,validate_phase3,generate_phase3_test_manifest}, CI workflow, ADR-0010/0011/0012, tokenizer-design doc, phase report + requirements traceability, cross-phase update to the Phase 0 frozen-artifact-manifest check, executed exp-0024..exp-0030",6a6ef177328d187670f2fe3e4f2ccb11ccb3660d,in-progress,"during engineering: merges.txt parser treated a #-prefixed merge piece as a comment (fixed with an exact header sentinel); the first smaller corpus included the held-out eval-fixture builder script (fixed with CORPUS_EXCLUDE_GLOBS + a disjointness test, corpus rebuilt)",approximate,"AI-assisted (Claude Sonnet 5) engineering time. start_time is the session reconnaissance start; end_time is approximate and will be finalized at the metadata-closure commit. GPU hours are 0 -- byte-level BPE tokenizer engineering is CPU-only and no GPU work occurred. CPU/data-processing hours (~0.6) approximate repeated corpus builds, repeated full tokenizer trainings/rebuilds, the cross-domain evaluation + GPT-2 comparator fetch, and the many pytest/validator invocations. active_human_hours is PENDING -- not observable by the implementer."
